{'_id': ObjectId('5b911b86a8c5701960d34895'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -73, 'TIME': ['09:20:21']}
{'_id': ObjectId('5b911b97a8c57019d15e8bd6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -90, 'TIME': ['09:20:38']}
{'_id': ObjectId('5b911b9ca8c57019d15e8c0a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:20:44']}
{'_id': ObjectId('5b911ba0a8c57019d15e8c3e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:20:48']}
{'_id': ObjectId('5b911ba4a8c57019d15e8c72'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:20:52']}
{'_id': ObjectId('5b911ba8a8c57019d15e8ca6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:20:56']}
{'_id': ObjectId('5b911baca8c57019d15e8cda'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:21:00']}
{'_id': ObjectId('5b911bafa8c57019d15e8d0e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:21:03']}
{'_id': ObjectId('5b911bb3a8c57019d15e8d42'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:21:07']}
{'_id': ObjectId('5b911bb7a8c57019d15e8d76'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -94, 'TIME': ['09:21:10']}
{'_id': ObjectId('5b911bbaa8c57019d15e8daa'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:14']}
{'_id': ObjectId('5b911bbea8c57019d15e8dde'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:18']}
{'_id': ObjectId('5b911bc2a8c57019d15e8e12'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:21']}
{'_id': ObjectId('5b911bc5a8c57019d15e8e46'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:25']}
{'_id': ObjectId('5b911bc9a8c57019d15e8e7a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:28']}
{'_id': ObjectId('5b911bcca8c57019d15e8eae'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:32']}
{'_id': ObjectId('5b911bd0a8c57019d15e8ee2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:36']}
{'_id': ObjectId('5b911bd4a8c57019d15e8f16'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:39']}
{'_id': ObjectId('5b911bd7a8c57019d15e8f4a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:43']}
{'_id': ObjectId('5b911bdba8c57019d15e8f7e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:47']}
{'_id': ObjectId('5b911bdfa8c57019d15e8fb2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:51']}
{'_id': ObjectId('5b911be3a8c57019d15e8fe6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:54']}
{'_id': ObjectId('5b911be6a8c57019d15e901a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:21:58']}
{'_id': ObjectId('5b911beaa8c57019d15e904e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:02']}
{'_id': ObjectId('5b911beea8c57019d15e9082'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:06']}
{'_id': ObjectId('5b911bf1a8c57019d15e90b6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:09']}
{'_id': ObjectId('5b911bf5a8c57019d15e90ea'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:13']}
{'_id': ObjectId('5b911bf9a8c57019d15e911e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:16']}
{'_id': ObjectId('5b911bfca8c57019d15e9152'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:49:c7:c2:d8:dc', 'RSSI': -89, 'TIME': ['09:22:20']}
