{'_id': ObjectId('5be0b682fbc42b079c1126b4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'dc:9f:db:5c:28:53', 'RSSI': -91, 'TIME': ['18:30:43'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b682fbc42b079c1126b5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -40, 'TIME': ['18:30:43'], 'DIST': 0.22387211385683395}
{'_id': ObjectId('5be0b682fbc42b079c1126b6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -37, 'TIME': ['18:30:43'], 'DIST': 0.15848931924611134}
{'_id': ObjectId('5be0b682fbc42b079c1126b7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['18:30:43'], 'DIST': 17.78279410038923}
{'_id': ObjectId('5be0b682fbc42b079c1126b8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'a8:7c:01:22:27:56', 'RSSI': -92, 'TIME': ['18:30:43'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0b682fbc42b079c1126b9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -82, 'TIME': ['18:30:43'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b682fbc42b079c1126ba'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '24:f5:aa:69:a4:8a', 'RSSI': -82, 'TIME': ['18:30:43'], 'DIST': 28.183829312644534}
{'_id': ObjectId('5be0b686fbc42b079c1126bb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['18:30:46'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0b686fbc42b079c1126bc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -46, 'TIME': ['18:30:46'], 'DIST': 0.44668359215096315}
{'_id': ObjectId('5be0b686fbc42b079c1126bd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -77, 'TIME': ['18:30:46'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0b686fbc42b079c1126be'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -81, 'TIME': ['18:30:46'], 'DIST': 25.118864315095795}
{'_id': ObjectId('5be0b686fbc42b079c1126bf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'cc:06:77:e8:8f:18', 'RSSI': -91, 'TIME': ['18:30:46'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0b686fbc42b079c1126c0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -90, 'TIME': ['18:30:46'], 'DIST': 70.79457843841381}
{'_id': ObjectId('5be0b686fbc42b079c1126c1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -92, 'TIME': ['18:30:46'], 'DIST': 89.12509381337455}
