{'_id': ObjectId('5be0be13fbc42b0a26e9c0e8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:02:59'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0be17fbc42b0a26e9c100'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:03:02'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0be1afbc42b0a26e9c118'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['19:03:06'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0be1efbc42b0a26e9c130'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:09'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be21fbc42b0a26e9c148'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:12'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be24fbc42b0a26e9c160'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:16'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be28fbc42b0a26e9c178'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:19'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be2bfbc42b0a26e9c190'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:22'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be2efbc42b0a26e9c1a8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:26'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be32fbc42b0a26e9c1c0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:29'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be35fbc42b0a26e9c1d8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:33'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be39fbc42b0a26e9c1f1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:36'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0be3cfbc42b0a26e9c20a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -76, 'TIME': ['19:03:39'], 'DIST': 14.12537544622754}
