{'_id': ObjectId('5be0562bfbc42b1464ccf3b8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:39'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0562ffbc42b1464ccf3c9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:42'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be05632fbc42b1464ccf3da'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:46'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be05635fbc42b1464ccf3eb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:49'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be05639fbc42b1464ccf3fc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:52'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0563cfbc42b1464ccf40d'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -77, 'TIME': ['11:39:56'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0563ffbc42b1464ccf41e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -88, 'TIME': ['11:39:59'], 'DIST': 56.23413251903491}
{'_id': ObjectId('5be05643fbc42b1464ccf42f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -88, 'TIME': ['11:40:02'], 'DIST': 56.23413251903491}
{'_id': ObjectId('5be05646fbc42b1464ccf440'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -88, 'TIME': ['11:40:06'], 'DIST': 56.23413251903491}
{'_id': ObjectId('5be05649fbc42b1464ccf451'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -82, 'TIME': ['11:40:09'], 'DIST': 28.183829312644534}
