{'_id': ObjectId('5be058e6fbc42b1681f19983'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:17'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058e8fbc42b1681f19996'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:20'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058ecfbc42b1681f199a9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:24'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058effbc42b1681f199bc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:27'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058f2fbc42b1681f199cf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:30'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058f6fbc42b1681f199e2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:34'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058f9fbc42b1681f199f5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:37'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be058fcfbc42b1681f19a08'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:40'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be05900fbc42b1681f19a1b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:44'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be05903fbc42b1681f19a2e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:47'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be05906fbc42b1681f19a41'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:50'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0590afbc42b1681f19a54'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:54'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0590dfbc42b1681f19a67'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['11:51:57'], 'DIST': 12.589254117941675}
