{'_id': ObjectId('5be0555cfbc42b1464ccefbd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -95, 'TIME': ['11:36:12'], 'DIST': 125.89254117941675}
{'_id': ObjectId('5be0555cfbc42b1464ccefbe'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -70, 'TIME': ['11:36:12'], 'DIST': 7.079457843841379}
{'_id': ObjectId('5be0555cfbc42b1464ccefbf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -77, 'TIME': ['11:36:12'], 'DIST': 15.848931924611133}
{'_id': ObjectId('5be0555cfbc42b1464ccefc0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['11:36:12'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0555cfbc42b1464ccefc1'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -92, 'TIME': ['11:36:12'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0555cfbc42b1464ccefc2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -91, 'TIME': ['11:36:12'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0555cfbc42b1464ccefc3'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -80, 'TIME': ['11:36:12'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0555cfbc42b1464ccefc4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '48:e2:44:e6:e0:49', 'RSSI': -56, 'TIME': ['11:36:12'], 'DIST': 1.4125375446227544}
{'_id': ObjectId('5be0555cfbc42b1464ccefc5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c6:3a:91:c0:07', 'RSSI': -31, 'TIME': ['11:36:12'], 'DIST': 0.07943282347242814}
{'_id': ObjectId('5be0555cfbc42b1464ccefc6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '28:83:35:e4:01:a3', 'RSSI': -80, 'TIME': ['11:36:12'], 'DIST': 22.3872113856834}
{'_id': ObjectId('5be0555cfbc42b1464ccefc7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '68:c4:4d:5f:f4:53', 'RSSI': -91, 'TIME': ['11:36:12'], 'DIST': 79.43282347242814}
{'_id': ObjectId('5be0555ffbc42b1464ccefc8'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '90:8d:78:26:c2:54', 'RSSI': -89, 'TIME': ['11:36:15'], 'DIST': 63.09573444801933}
{'_id': ObjectId('5be0555ffbc42b1464ccefc9'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'f4:28:53:0f:19:92', 'RSSI': -94, 'TIME': ['11:36:15'], 'DIST': 112.2018454301963}
{'_id': ObjectId('5be0555ffbc42b1464ccefca'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -63, 'TIME': ['11:36:15'], 'DIST': 3.1622776601683795}
{'_id': ObjectId('5be0555ffbc42b1464ccefcb'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:a8:60', 'RSSI': -76, 'TIME': ['11:36:15'], 'DIST': 14.12537544622754}
{'_id': ObjectId('5be0555ffbc42b1464ccefcc'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'd0:04:92:03:c9:08', 'RSSI': -92, 'TIME': ['11:36:15'], 'DIST': 89.12509381337455}
{'_id': ObjectId('5be0555ffbc42b1464ccefcd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '74:cc:39:be:73:d0', 'RSSI': -93, 'TIME': ['11:36:15'], 'DIST': 100.0}
{'_id': ObjectId('5be0555ffbc42b1464ccefce'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'bc:c0:0f:c2:6b:38', 'RSSI': -98, 'TIME': ['11:36:15'], 'DIST': 177.82794100389228}
{'_id': ObjectId('5be0555ffbc42b1464ccefcf'), 'NODE': ['SPI/nodemcu1/'], 'MAC': 'ac:84:c6:da:a2:0f', 'RSSI': -78, 'TIME': ['11:36:15'], 'DIST': 17.78279410038923}
