{'_id': ObjectId('5be0b73cfbc42b079c112b21'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:48'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b740fbc42b079c112b39'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:52'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b743fbc42b079c112b51'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:55'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b746fbc42b079c112b6a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:33:58'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b74afbc42b079c112b83'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -75, 'TIME': ['18:34:02'], 'DIST': 12.589254117941675}
{'_id': ObjectId('5be0b74dfbc42b079c112b9c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:05'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b751fbc42b079c112bb6'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:09'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b754fbc42b079c112bd0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:12'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b757fbc42b079c112bea'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:15'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b75bfbc42b079c112c04'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:19'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b75efbc42b079c112c1e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:22'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b761fbc42b079c112c38'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -74, 'TIME': ['18:34:25'], 'DIST': 11.220184543019636}
{'_id': ObjectId('5be0b765fbc42b079c112c52'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:29'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b768fbc42b079c112c6c'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:32'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b76bfbc42b079c112c86'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:35'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b76ffbc42b079c112ca0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:39'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b772fbc42b079c112cba'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:42'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b776fbc42b079c112cd4'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:46'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b779fbc42b079c112cef'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:49'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b77efbc42b079c112d0a'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:52'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b780fbc42b079c112d25'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:56'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b783fbc42b079c112d40'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:34:59'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b786fbc42b079c112d5b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:02'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b78afbc42b079c112d76'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:06'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b78dfbc42b079c112d91'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:09'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b791fbc42b079c112dac'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:12'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b794fbc42b079c112dc7'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:16'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b797fbc42b079c112de2'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:19'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b79bfbc42b079c112dfd'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:23'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b79efbc42b079c112e18'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:26'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7a5fbc42b079c112e33'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:33'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7a8fbc42b079c112e4e'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:36'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7abfbc42b079c112e69'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:39'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7affbc42b079c112e84'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:43'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7b2fbc42b079c112e9f'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:46'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7b6fbc42b079c112eba'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:49'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7b9fbc42b079c112ed5'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:53'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7bcfbc42b079c112ef0'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:35:56'], 'DIST': 19.952623149688797}
{'_id': ObjectId('5be0b7c0fbc42b079c112f0b'), 'NODE': ['SPI/nodemcu1/'], 'MAC': '20:a6:0c:2b:53:5b', 'RSSI': -79, 'TIME': ['18:36:00'], 'DIST': 19.952623149688797}
